UF;MUNICIPIO;TOTAL;MUNICIPIO_clean;id_municipio;longitude;latitude
BA;ANDORINHA                          ;3;ANDORINHA;218.0;-39.839142;-10.348214
BA;ANGICAL                            ;5;ANGICAL;219.0;-44.700272;-12.006313
BA;ANTAS                              ;1;ANTAS;221.0;-38.340118;-10.385621
BA;APORÁ                              ;2;APORÁ;224.0;-38.081418;-11.657708
BA;ARACATU                            ;5;ARACATU;227.0;-41.464783;-14.427986
BA;ARACI                              ;1;ARACI;228.0;-38.958385;-11.325316
BA;ARATACA                            ;1;ARATACA;230.0;-39.419017;-15.265099
BA;BAIANÓPOLIS                        ;1;BAIANÓPOLIS;233.0;-44.538829;-12.301641
BA;BAIXA GRANDE                       ;1;BAIXA GRANDE;234.0;-40.16897;-11.951884
BA;BARRA                              ;6;BARRA;236.0;-43.145913;-11.0859
BA;BARRA DA ESTIVA                    ;5;BARRA DA ESTIVA;237.0;-41.334697;-13.623699
BA;BARREIRAS                          ;91;BARREIRAS;241.0;-44.996838;-12.143864
BA;BELMONTE                           ;4;BELMONTE;243.0;-38.87578;-15.860789
BA;BELO CAMPO                         ;3;BELO CAMPO;244.0;-41.265172;-15.033362
BA;BOA NOVA                           ;4;BOA NOVA;246.0;-40.206444;-14.359754
BA;BOM JESUS DA LAPA                  ;17;BOM JESUS DA LAPA;248.0;-43.410754;-13.250571
BA;BREJÕES                            ;4;BREJÕES;254.0;-39.798797;-13.103948
BA;BROTAS DE MACAÚBAS                 ;1;BROTAS DE MACAÚBAS;256.0;-42.632609;-11.991452
BA;BRUMADO                            ;6;BRUMADO;257.0;-41.669592;-14.202127
BA;BUERAREMA                          ;2;BUERAREMA;258.0;-39.302849;-14.959497
BA;CACHOEIRA                          ;1;CACHOEIRA;262.0;-38.958695;-12.599443
BA;CACULÉ                             ;5;CACULÉ;263.0;-42.222872;-14.500281
BA;CAETANOS                           ;1;CAETANOS;265.0;-40.917506;-14.334745
BA;CAETITÉ                            ;14;CAETITÉ;266.0;-42.486133;-14.068422
BA;CALDEIRÃO GRANDE                   ;1;CALDEIRÃO GRANDE;269.0;-40.295577;-11.020798
BA;CAMACAN                            ;4;CAMACAN;270.0;-39.491937;-15.414157
BA;CAMAMU                             ;1;CAMAMU;272.0;-39.107082;-13.939773
BA;CAMAÇARI                           ;26;CAMAÇARI;271.0;-38.326265;-12.699638
BA;CAMPO FORMOSO                      ;23;CAMPO FORMOSO;274.0;-40.320031;-10.51055
BA;CANAVIEIRAS                        ;7;CANAVIEIRAS;277.0;-38.953648;-15.672205
BA;CANDEIAS                           ;6;CANDEIAS;279.0;-38.547152;-12.671566
BA;CANSANÇÃO                          ;1;CANSANÇÃO;282.0;-39.494388;-10.664713
BA;CAPELA DO ALTO ALEGRE              ;1;CAPELA DO ALTO ALEGRE;284.0;-39.834912;-11.665797
